Image File,KL Divergence
80_0_2_20170111210646563.jpg.chip.jpg,2.837051241
90_0_0_20170111210338948.jpg.chip.jpg,2.124735008
26_0_1_20170117091506354.jpg.chip.jpg,1.755416276
25_1_2_20170116174823428.jpg.chip.jpg,1.727469238
25_0_4_20170117151632205.jpg.chip.jpg,1.715086457
21_0_4_20161223214823880.jpg.chip.jpg,1.631643259
7_0_0_20170110215708491.jpg.chip.jpg,1.597556087
1_0_4_20161221201458610.jpg.chip.jpg,1.568258213
28_0_1_20170117202336846.jpg.chip.jpg,1.547267264
1_1_2_20161219200451724.jpg.chip.jpg,1.518726666
54_0_1_20170120223418357.jpg.chip.jpg,1.496240346
1_0_2_20161219140811232.jpg.chip.jpg,1.477359272
21_1_1_20170112231854926.jpg.chip.jpg,1.462738774
14_0_0_20170110232541244.jpg.chip.jpg,1.393200323
19_0_1_20170114025936564.jpg.chip.jpg,1.390743639
25_1_0_20170117141349705.jpg.chip.jpg,1.366269282
1_0_0_20170109194042219.jpg.chip.jpg,1.320131101
38_0_1_20170117135753077.jpg.chip.jpg,1.315120508
50_0_1_20170117184611832.jpg.chip.jpg,1.311977135
1_0_3_20161220145156367.jpg.chip.jpg,1.300034846
1_0_2_20161219211823957.jpg.chip.jpg,1.299080497
1_0_2_20161219141817185.jpg.chip.jpg,1.2947556
26_1_1_20170116153419888.jpg.chip.jpg,1.293257897
1_0_0_20170109193647852.jpg.chip.jpg,1.290468584
28_1_2_20170116164653714.jpg.chip.jpg,1.289490792
35_0_1_20170117175744492.jpg.chip.jpg,1.284353077
49_1_1_20170110153320156.jpg.chip.jpg,1.282518631
28_0_1_20170117020349205.jpg.chip.jpg,1.278919688
38_1_1_20170116223044761.jpg.chip.jpg,1.269360736
21_1_2_20170116171706610.jpg.chip.jpg,1.266134903
42_0_3_20170119204424727.jpg.chip.jpg,1.254542248
23_1_0_20170116221828462.jpg.chip.jpg,1.25115404
22_1_3_20170119163324557.jpg.chip.jpg,1.238374184
1_1_0_20170109192752097.jpg.chip.jpg,1.236221188
28_1_2_20170104020746876.jpg.chip.jpg,1.231706797
27_0_1_20170117013724759.jpg.chip.jpg,1.222666376
26_1_0_20170116234741431.jpg.chip.jpg,1.222174742
80_0_0_20170111205531200.jpg.chip.jpg,1.218839663
23_1_0_20170117145105755.jpg.chip.jpg,1.214060304
1_1_2_20161219222144951.jpg.chip.jpg,1.211029317
22_0_1_20170114033210195.jpg.chip.jpg,1.207921279
24_1_2_20170116173512698.jpg.chip.jpg,1.207548424
1_1_0_20170109191822349.jpg.chip.jpg,1.203580966
3_1_0_20170109191823943.jpg.chip.jpg,1.203580966
25_0_1_20170116001340216.jpg.chip.jpg,1.202553336
86_1_2_20170105174652949.jpg.chip.jpg,1.201620822
26_0_1_20170117201415686.jpg.chip.jpg,1.200734624
1_1_3_20161220220119985.jpg.chip.jpg,1.200359055
60_1_1_20170120222320336.jpg.chip.jpg,1.194864686
40_0_1_20170116201948808.jpg.chip.jpg,1.193930245
26_0_3_20170119180511092.jpg.chip.jpg,1.189944657
42_0_1_20170116205000015.jpg.chip.jpg,1.183674855
30_1_2_20170116191239121.jpg.chip.jpg,1.180051146
35_0_1_20170116201805063.jpg.chip.jpg,1.179582151
3_1_0_20170109191801408.jpg.chip.jpg,1.175595635
35_1_1_20170116010333522.jpg.chip.jpg,1.171983945
6_1_3_20161220220051873.jpg.chip.jpg,1.170105993
26_1_2_20170116175519439.jpg.chip.jpg,1.16553259
1_1_2_20161219151131108.jpg.chip.jpg,1.164294413
24_1_1_20170112231819332.jpg.chip.jpg,1.163523686
28_0_1_20170117015454368.jpg.chip.jpg,1.156113949
1_0_2_20161219142032650.jpg.chip.jpg,1.151027156
1_1_0_20170109190939585.jpg.chip.jpg,1.14953143
7_1_2_20170104023324470.jpg.chip.jpg,1.145494041
25_0_4_20170117155154894.jpg.chip.jpg,1.135824019
31_1_0_20170117133433345.jpg.chip.jpg,1.134357315
29_1_2_20170116164937910.jpg.chip.jpg,1.134204858
30_0_0_20170113195424859.jpg.chip.jpg,1.130185556
58_0_0_20170111204513437.jpg.chip.jpg,1.127893881
29_0_1_20170116002244586.jpg.chip.jpg,1.126078005
25_1_0_20170117134947430.jpg.chip.jpg,1.124916093
21_1_0_20170116220220347.jpg.chip.jpg,1.120896398
50_0_3_20170119204341751.jpg.chip.jpg,1.120190946
17_0_0_20170110232017297.jpg.chip.jpg,1.119719284
4_0_0_20161219204117636.jpg.chip.jpg,1.118995115
52_0_3_20170119205712208.jpg.chip.jpg,1.117571671
1_0_0_20170110213042997.jpg.chip.jpg,1.117445048
58_0_1_20170111170138036.jpg.chip.jpg,1.117209701
25_0_0_20170116213542860.jpg.chip.jpg,1.114527133
1_0_2_20161219194820459.jpg.chip.jpg,1.11357928
41_0_1_20170116003552644.jpg.chip.jpg,1.110864265
24_1_2_20170116171600984.jpg.chip.jpg,1.108290815
25_1_0_20170116220238281.jpg.chip.jpg,1.108198772
30_0_0_20170117130639687.jpg.chip.jpg,1.108126701
10_0_0_20170110220557169.jpg.chip.jpg,1.107781677
26_0_3_20170117153400030.jpg.chip.jpg,1.101310477
1_0_2_20161219162626830.jpg.chip.jpg,1.100131352
10_1_0_20170109203357787.jpg.chip.jpg,1.095664763
11_0_0_20170110225435539.jpg.chip.jpg,1.092488545
9_0_0_20170110220237634.jpg.chip.jpg,1.092488545
15_0_0_20170116201332456.jpg.chip.jpg,1.092132789
45_0_3_20170113190535208.jpg.chip.jpg,1.087874811
75_0_0_20170111203745246.jpg.chip.jpg,1.087123662
26_0_1_20170104170637953.jpg.chip.jpg,1.08654871
23_0_3_20170116161243731.jpg.chip.jpg,1.085766286
27_0_3_20170119194326882.jpg.chip.jpg,1.08557928
26_1_2_20170116180828579.jpg.chip.jpg,1.08314415
7_0_0_20170110215920604.jpg.chip.jpg,1.082096573
32_0_0_20170116201321051.jpg.chip.jpg,1.07890034
